a:  i |  duine éigin 
abbess:  ban-ab, máthairab 
abbey:  mainistir 
abbot:  ab 
abdomen:  bolg, tarr 
abide:  fair, fan le 
abode:  cónaí 
above:  lastuas
Abyssinia:  An Aetóip 
academic:  acadúil 
academy:  acadamh 
accept:  faomh, glac 
accident:  taisme, timpiste, tionóisc 
accommodation:  cónaí 
accompany:  comóir, tionlaic 
account:  cuntas |  creid 
accredit:  creid 
accuse:  ciontaigh, cúisigh, gearán, iomardaigh 
acerbic:  géar 
acetous:  aigéadach, searbh 
ache:  pian 
achieve:  déanamh, déantús 
acid:  aigéadach, searbh |  aigéad, searbh 
acorn:  dearcán 
acquire:  ceannaigh 
acre:  acra 
acrobat:  cleasaí, gleacaí 
across:  thar 
across from:  faoi, i gcoinne, in aghaidh, in éadan 
act:  déanamh, déantús 
actor:  aisteoir 
actress:  ban-aisteoir 
ad:  fógra, fógraíocht 
add:  suimigh 
add up:  suimigh 
adieu:  beannacht, slán 
adjutant:  aidiúnach 
administration:  reachtas, riar, riarachán 
admiral:  aimiréal 
ado:  gleo 
adopt:  uchtaigh
adore:  adhair 
advertise:  fógair 
advertisement:  fógra, fógraíocht 
advice:  comhairle, moladh 
advise:  comhairligh, mol 
aeroplane:  eitleán 
affluent:  saibhir 
Afghanistan:  An Afganastáin 
afraid:  eaglach, faiteach 
afresh:  arís, athuair, fós 
Africa:  An Afraic 
afternoon:  iarnóin, tráthnóna 
again:  arís, athuair, fós 
against:  faoi, i gcoinne, in aghaidh, in éadan 
age:  aois, ré 
agent:  feidhmeannach, gníomhaire, ionadaí 
aid:  cuiditheoir, cúntóir |  cúnamh
aide-de-camp:  aidiúnach 
air:  aer 
aircraft:  aerárthach 
airplane:  eitleán 
airport:  aerfort 
alarm:  aláram, rabhadh, scaoll |  clog aláraim 
alarmclock:  clog aláraim 
Albania:  An Albáin 
Albanian:  Albáinis 
Albanian language:  Albáinis 
albatross:  albatras 
alcohol:  alcól 
ale:  beoir, leann 
algebra:  ailgéabar 
Algeria:  An Ailgéir 
alibi:  ailibí 
a little:  beagán 
alive:  beo, i do bheatha 
alligator:  ailigéadar 
alloy:  cóimhiotal 
all the:  gach 
almost:  beagnach, nach mór 
aloe:  aló 
alphabet:  aibítir 
Alps:  Alpa 
already:  cheana 
also:  fosta, freisin, leis 
altar:  altóir 
alter:  athraigh 
although:  bíodh go, bíodh is go, cé go 
aluminium:  alúmanam 
aluminum:  alúmanam 
always:  ar fad, choíche, go buan, go brách, i dtólamh, i gcónaí 
Amazon:  Amasóin 
ambassador:  ambasadóir 
ambulance:  otharcharr 
America:  Meiriceá 
among:  ar fud, idir, i measc, trí 
ampère:  aimpéar 
Amsterdam:  Amsterdam 
anchor:  ancaire 
and:  agus, is 
Andes:  Aindéis 
angel:  aingeal 
angle:  cearn, cúinne, uillinn 
angry:  colgach, feargach 
animal:  ainmhí, beithíoch, míol 
ankle:  caol na coise, murnán, rúitín 
announce:  fógair 
another:  eile 
answer:  freagair |  freagra 
ant:  seangán 
anus:  anas, áthán, timpireacht 
anvil:  inneoin 
any:  duine éigin 
anybody:  duine éigin 
anyway:  ar chaoi éigin, ar chuma éigin, ar dhoigh éigin 
apart from:  ach 
ape:  ápa, moncaí 
Apennines:  Aipiníní 
appear:  láithrigh, nocht, taibhsigh, taispeáin 
appellation:  ainm 
apple:  úll 
April:  an tAibreán 
Argentina:  An Airgintín 
arm:  lámh 
army:  arm 
arouse:  dúisigh, múscail 
arrive:  ráinigh, tar 
arse:  anas, áthán, timpireacht 
ash:  luaith |  fuinseog 
ashtray:  luaithreadán 
Asia:  An Áise 
ask:  fiafraigh, iarr |  achainigh, impigh 
ask for:  achainigh, impigh 
asphalt:  asfalt 
ass:  asal 
assault:  ionsaigh 
assistant:  cuiditheoir, cúntóir 
assistent:  cuiditheoir, cúntóir 
asthma:  múchadh, plúchadh 
asthmatic:  gearranálach, múchtach 
at:  chun, do, go |  i n-aice 
atheist:  aindiachaí 
Athens:  An Aithin 
athlete:  lúthchleasaí, lúithnire 
Atlantic:  Aigéan Alantach 
Atlantic Ocean:  Aigéan Alantach 
at night:  istóiche 
atom:  adamh 
at present:  anois 
attack:  ionsaigh 
attempt:  iarracht, iarraidh, ionsaí 
August:  mí na Lúnasa 
aunt:  aintín 
Australia:  An Astráil 
Austria:  An Ostair 
author:  údar 
autobus:  bus 
autumn:  Fómhar 
